                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7933,                0.45288,                 1.0135,                0.94755,                0.94461,                0.97859,                0.76166,                0.84719,                0.48707,                 1.0976,               0.008845,               0.008845,               0.008845
                     37,                0.80083,                0.44966,                 1.0227,                0.92765,                0.98174,                0.97833,                0.77044,                0.86617,                0.47861,                  1.093,               0.008812,               0.008812,               0.008812
                     38,                0.80338,                0.45701,                 1.0178,                0.87559,                0.97761,                0.97538,                 0.7426,                0.95187,                0.51185,                 1.1433,               0.008779,               0.008779,               0.008779
                     39,                0.80251,                0.44071,                 1.0154,                0.95452,                0.97363,                0.98029,                0.76994,                0.85439,                  0.452,                 1.0916,               0.008746,               0.008746,               0.008746
                     40,                0.78234,                 0.4373,                 1.0071,                0.91451,                0.97856,                0.98169,                0.77131,                0.86836,                0.47839,                 1.0963,               0.008713,               0.008713,               0.008713
                     41,                0.77675,                0.43329,                  1.007,                0.93808,                 0.9673,                0.98057,                 0.7715,                0.86032,                0.45909,                 1.0967,                0.00868,                0.00868,                0.00868
                     42,                0.77824,                0.43332,                 1.0082,                0.94867,                0.97946,                0.97997,                0.76672,                0.88213,                 0.4597,                 1.1078,               0.008647,               0.008647,               0.008647
                     43,                0.78825,                0.42879,                 1.0137,                0.95992,                0.97663,                0.98042,                 0.7707,                0.86115,                0.44476,                 1.0869,               0.008614,               0.008614,               0.008614
                     44,                0.77705,                0.42591,                 1.0056,                0.90776,                0.96397,                0.97864,                0.75968,                0.88563,                 0.4947,                 1.1143,               0.008581,               0.008581,               0.008581
                     45,                0.77211,                0.42569,                 1.0016,                 0.9433,                0.98568,                 0.9776,                0.75361,                0.87994,                0.44501,                 1.1147,               0.008548,               0.008548,               0.008548
                     46,                0.77902,                0.42476,                 1.0075,                0.94177,                0.97809,                0.98004,                0.78467,                0.81023,                0.44439,                 1.0632,               0.008515,               0.008515,               0.008515
                     47,                0.77067,                0.41757,                 1.0051,                0.91664,                0.97166,                 0.9757,                0.75789,                0.86393,                0.46638,                 1.0981,               0.008482,               0.008482,               0.008482
                     48,                 0.7578,                0.41543,                0.99861,                0.95397,                0.93028,                 0.9738,                0.75976,                0.87832,                0.48595,                 1.1048,               0.008449,               0.008449,               0.008449
                     49,                0.76866,                0.41683,                0.99986,                0.95316,                0.95425,                0.98054,                0.71441,                0.97509,                 0.4939,                 1.1611,               0.008416,               0.008416,               0.008416
                     50,                0.76037,                0.41797,                0.99561,                0.87574,                0.96611,                0.96651,                0.76134,                0.83078,                0.50999,                 1.0838,               0.008383,               0.008383,               0.008383
                     51,                0.76354,                 0.4188,                 1.0055,                0.95269,                0.98677,                0.98034,                0.77135,                0.85018,                0.44313,                 1.0885,                0.00835,                0.00835,                0.00835
                     52,                0.75549,                0.40347,                 0.9922,                0.95927,                0.95412,                0.97814,                0.78481,                0.81465,                0.44545,                 1.0704,               0.008317,               0.008317,               0.008317
                     53,                0.75456,                0.40528,                0.99668,                0.96373,                0.98613,                0.98412,                0.78965,                0.80783,                0.41219,                 1.0742,               0.008284,               0.008284,               0.008284
                     54,                0.75548,                0.41525,                0.99469,                0.96123,                0.94657,                0.98133,                0.76356,                0.85701,                0.44958,                 1.0865,               0.008251,               0.008251,               0.008251
                     55,                0.74406,                0.39646,                0.99081,                0.90647,                0.96506,                0.97272,                0.76629,                0.86673,                0.46887,                 1.0983,               0.008218,               0.008218,               0.008218
                     56,                0.74802,                0.39966,                0.99408,                0.95546,                0.98467,                0.98079,                0.77785,                0.83394,                0.42681,                 1.0724,               0.008185,               0.008185,               0.008185
                     57,                0.74828,                0.40246,                0.99776,                0.92013,                0.98531,                0.97235,                0.76314,                0.86767,                0.46405,                 1.1054,               0.008152,               0.008152,               0.008152
                     58,                0.74227,                0.39924,                0.98906,                0.96424,                0.98191,                0.97954,                0.77425,                0.83249,                0.40839,                  1.073,               0.008119,               0.008119,               0.008119
                     59,                0.74733,                0.39053,                0.99298,                 0.9217,                0.98105,                0.98468,                0.78775,                 0.8303,                0.43527,                 1.0663,               0.008086,               0.008086,               0.008086
                     60,                0.73981,                0.38548,                 0.9891,                0.91356,                0.97676,                0.98064,                0.77774,                0.81714,                0.40784,                 1.0639,               0.008053,               0.008053,               0.008053
                     61,                0.74042,                0.38936,                0.98866,                0.94965,                0.98281,                0.98293,                0.77887,                0.84198,                0.40807,                 1.0782,                0.00802,                0.00802,                0.00802
                     62,                0.73875,                0.38541,                0.99282,                0.91738,                0.95009,                0.97363,                0.71565,                0.94512,                 0.5127,                 1.1657,               0.007987,               0.007987,               0.007987
                     63,                0.72699,                0.39165,                0.98684,                0.95234,                0.95614,                0.97684,                0.77733,                0.84413,                0.42749,                  1.081,               0.007954,               0.007954,               0.007954
                     64,                0.73885,                 0.4017,                0.98654,                0.94937,                0.98952,                0.98547,                0.78408,                0.80077,                0.41242,                 1.0672,               0.007921,               0.007921,               0.007921
                     65,                0.71583,                 0.3842,                0.98309,                0.92555,                0.98774,                0.98285,                0.78698,                0.81904,                 0.4229,                 1.0694,               0.007888,               0.007888,               0.007888
                     66,                0.72114,                0.38069,                0.98314,                0.94923,                0.98452,                0.97707,                0.77195,                0.85093,                0.41165,                 1.0797,               0.007855,               0.007855,               0.007855
                     67,                0.72159,                0.38567,                0.98966,                 0.9604,                 0.9744,                0.98219,                0.77374,                 0.8626,                0.40156,                 1.0994,               0.007822,               0.007822,               0.007822
                     68,                 0.7199,                 0.3873,                0.98174,                0.93805,                0.98403,                0.98037,                0.77613,                0.84239,                0.42297,                  1.078,               0.007789,               0.007789,               0.007789
                     69,                0.72029,                0.38576,                0.98064,                0.94494,                0.96673,                0.98003,                 0.7744,                 0.8245,                 0.3963,                 1.0746,               0.007756,               0.007756,               0.007756
                     70,                0.71521,                0.38172,                 0.9805,                0.94704,                0.97948,                0.97761,                0.76151,                 0.8394,                0.40517,                 1.0909,               0.007723,               0.007723,               0.007723
                     71,                0.71556,                0.37793,                0.97973,                0.93719,                0.97158,                 0.9787,                 0.7788,                0.81402,                0.39914,                 1.0646,                0.00769,                0.00769,                0.00769
                     72,                0.69786,                0.36816,                0.97258,                0.95077,                0.96202,                0.98141,                0.76974,                0.86058,                0.39783,                 1.0899,               0.007657,               0.007657,               0.007657
                     73,                0.70358,                0.37082,                0.97356,                0.95479,                 0.9828,                0.98183,                0.77867,                 0.8199,                0.38026,                 1.0697,               0.007624,               0.007624,               0.007624
                     74,                0.70051,                0.36286,                 0.9791,                0.94795,                 0.9819,                0.97974,                0.77694,                0.81058,                0.38013,                 1.0595,               0.007591,               0.007591,               0.007591
                     75,                0.69956,                0.36846,                0.97296,                0.94393,                0.98118,                0.98056,                0.78188,                0.82164,                 0.3758,                 1.0734,               0.007558,               0.007558,               0.007558
                     76,                0.68948,                0.36014,                0.97225,                0.95707,                0.97906,                0.98123,                0.78307,                0.81286,                0.39077,                 1.0684,               0.007525,               0.007525,               0.007525
